id,short_title,long_title,act_number,act_year,enact_date,enforcement_date,jurisdiction,ministry,department,section_count,in_force,unit
finance-commission-miscellaneous-provisions-act-1951,"The Finance Commission (Miscellaneous Provisions) Act, 1951","An Act to determine the qualifications requisite for appointment as members of the Finance Commission and the manner in which they shall be selected, and to prescribe their powers.",33,1951,1951-05-16,1951-05-16,CENTRAL,Ministry of Finance,Department of Economic Affairs,8,1,section
fiscal-responsibility-budget-management-act-2003,"The Fiscal Responsibility and Budget Management Act, 2003","An Act to provide for the responsibility of the Central Government to ensure inter-generational equity in fiscal management and long-term macro-economic stability by achieving sufficient revenue surplus and removing fiscal impediments in the effective conduct of monetary policy and prudential debt management consistent with fiscal sustainability through limits on the Central Government borrowings, debt and deficits, greater transparency in fiscal operations of the Central Government and conducting fiscal policy in a medium-term framework and for matters connected therewith or incidental thereto.",39,2003,2003-08-26,2004-07-05,CENTRAL,Ministry of Finance,Department of Economic Affairs,14,1,section
food-corporations-act-1964,"The Food Corporations Act, 1964",An Act to provide for the establishment of Food Corporations for the purpose of trading in foodgrains and other foodstuffs and for matters connected therewith and incidental thereto.,37,1964,1964-12-10,1964-12-17,CENTRAL,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,47,1,section
food-safety-standards-act-2006,"The Food Safety and Standards Act, 2006","An Act to consolidate the laws relating to food and to establish the Food Safety and Standards Authority of India for laying down science based standards for articles of food and to regulate their manufacture, storage, distribution, sale and import, to ensure availability of safe and wholesome food for human consumption and for matters connected therewith or incidental thereto.",34,2006,2006-08-23,2008-05-28,CENTRAL,Ministry of Health and Family Welfare,Department of Health and Family Welfare,101,1,section
footwear-design-development-institute-act-2017,"The Footwear Design and Development Institute Act, 2017","An Act to establish and declare the Footwear Design and Development Institute as an institution of national importance for the promotion and development of quality and excellence in education, research and training in all disciplines relating to footwear and leather products design and development and for matters connected therewith or incidental thereto.",20,2017,2017-08-04,2017-10-16,CENTRAL,Ministry of Commerce and Industry,Department of Commerce,39,1,section
foreign-aircraft-exemption-from-taxes-duties-on-fuel,"The Foreign Aircraft (Exemption from Taxes and Duties on Fuel and Lubricants) Act, 2002","An Act to implement Agreements entered into by India with other countries in pursuance of the Convention on International Civil Aviation opened for signatures at Chicago on the 7th December, 1944.",36,2002,2002-06-11,2002-06-11,CENTRAL,Ministry of Civil Aviation,,3,1,section
foreign-contribution-regulation-act-2010,"The Foreign Contribution (Regulation) Act, 2010",An Act to consolidate the law to regulate the acceptance and utilisation of foreign contribution or foreign hospitality by certain individuals or associations or companies and to prohibit acceptance and utilisation of foreign contribution or foreign hospitality for any activities detrimental to the national interest and for matters connected therewith or incidental thereto.,42,2010,2010-09-26,2011-05-01,CENTRAL,Ministry of Home Affairs,Department of Internal Security,56,1,section
foreign-marriage-act-1969,"The Foreign Marriage Act, 1969",An Act to make provision relating to marriages of citizens of India outside India.,33,1969,1969-08-31,1969-08-31,CENTRAL,Ministry of External Affairs,,30,1,section
foreign-trade-development-regulation-act-1992,"The Foreign Trade (Development and Regulation) Act, 1992","An Act to provide for the development and regulation of foreign trade by facilitating imports into, and augmenting exports from, India and for matters connected therewith or incidental thereto.",22,1992,1992-08-07,1992-06-19,CENTRAL,Ministry of Commerce and Industry,Department of Commerce,29,1,section
foreigners-law-application-amendment-act-1962,"The Foreigners Law (Application and Amendment) Act, 1962","An Act to apply the Registration of Foreigners Act, 1939 and the Foreigners Act, 1946 to certain persons to whom they do not at present apply and further to amend the Foreigners Act, 1946.",42,1962,1962-11-24,,CENTRAL,Ministry of Home Affairs,Department of Internal Security,4,1,section
forfeited-deposits-act-1850,"The Forfeited Deposits Act, 1850","An Act for the forfeiture to Government of deposits made on incomplete sales of land under Regulation 8, 1819.",25,1850,1850-06-14,1850-06-14,CENTRAL,Ministry of Home Affairs,Department of States,2,1,section
former-secretary-state-service-officers-conditions-service-act,"The Former Secretary of State Service Officers (Conditions of Service) Act, 1972",An Act to provide for the variation or revocation of the conditions of service of former Secretary of State Service officers in respect of certain matters and for matters connected therewith or incidental thereto.,59,1972,1972-09-21,1972-10-01,CENTRAL,"Ministry of Personnel, Public Grievances and Pensions",Department of Personnel and Training,14,1,section
forward-contracts-regulation-act-1952,"The Forward Contracts (Regulation) Act, 1952","An Act to provide for the regulation of certain matters relating to forward contracts, the prohibition of options in goods and for matters connected therewith.",74,1952,1952-12-26,1953-08-24,CENTRAL,Ministry of Finance,Department of Economic Affairs,43,1,section
fugitive-economic-offenders-act-2018,"The Fugitive Economic Offenders Act, 2018","An Act to provide for measures to deter fugitive economic offenders from evading the process of law in India by staying outside the jurisdiction of Indian courts, to preserve the sanctity of the rule of law in India and for matters connected therewith or incidental thereto.",17,2018,2018-07-31,2018-04-21,CENTRAL,Ministry of Finance,Department of Economic Affairs,26,1,section
fundamental-rules-chandigarh,Fundamental Rules,,45,1922,1922-01-01,,Chandigarh,,Chandigarh Industrial & Tourism Development Corporation Ltd.,1,1,section
gauripur-gholla-zamindars-annuity-rights-abolition-extinguishment-act,"The Gauripur (Gholla) Zamindars' Annuity Rights Abolition and Extinguishment Act, 1979 (Act 7 of 1980)",An Act to provide for abolition and extinguishment of annuity rights of the Zamindars of Gauripur (Gholla) within West Garo Hills District.,7,1980,1980-05-23,,Meghalaya,Meghalaya Law Department,Law Department,4,1,section
general-clauses-act,"The General Clauses Act, 1897","An Act to consolidate and extend the General Clauses Act, 1868 and 1887.",10,1897,1897-03-11,1897-03-11,CENTRAL,Ministry of Law and Justice,Legislative Department,36,1,section
general-insurance-business-nationalisation-act-1972,"The General Insurance Business (Nationalisation) Act, 1972","An Act to provide for the acquisition and transfer of shares of Indian insurance companies and undertakings of other existing insurers in order to serve better the needs of the economy by securing the development of general insurance business in the best interests of the community and to ensure that the operation of the economic system does not result in the concentration of wealth to the common detriment, for the regulation and control of such business and for matters connected therewith or incidental thereto.",57,1972,1972-09-20,1972-09-20,CENTRAL,Ministry of Finance,Department of Financial Services,48,1,section
general-provident-fund-uttar-pradesh-rules-1985-rule-12,"The General Provident Fund (Uttar Pradesh) Rules, 1985-Rule 12 (Amendment and Validation) Act, 2022",,9,2022,2022-09-29,,Uttar Pradesh,,Finance,4,1,section
geneva-conventions-act-1960,"The Geneva Conventions Act, 1960","An Act to enable effect to be given to certain international Conventions done at Geneva on the twelfth day of August, 1949, to which India is a party, and for purposes connected therewith.",6,1960,1960-03-12,1961-08-14,CENTRAL,Ministry of External Affairs,,20,1,section
geographical-indications-goods-registration-protection-act-1999,"The Geographical Indications of Goods (Registration and Protection) Act, 1999",An Act to provide for the registration and better protection of geographical indications relating to goods.,48,1999,1999-12-30,2003-09-15,CENTRAL,Ministry of Commerce and Industry,Department of Promotion of Industry and Internal Trade,89,1,section
gift-tax-act,"The Gift-tax Act, 1958",An Act to provide for the levy of gift-tax.,18,1958,1958-05-15,1958-04-01,CENTRAL,Ministry of Finance,Department of Revenue,81,1,section
glanders-farcy-dourine-acts-extension-act-1960,"The Glanders and Farcy and Dourine Acts (Extension) Act, 1960.",,34,1960,1960-12-30,,Maharashtra,Govt of Maharashtra,"Agriculture, Animal Husbandry, Dairy Development and Fisheries Department",5,1,section
goa-daman-diu-administration-act-1962,"The Goa, Daman and Diu (Administration) Act, 1962","An Act to provide for the administration of the Union territory of Goa, Daman and Diu and for matters connected therewith.",1,1962,1962-03-27,1962-03-05,CENTRAL,Ministry of Home Affairs,Department of States,11,1,section
goa-daman-diu-extension-code-civil-procedure-arbitration,"The Goa, Daman and Diu (Extension of the Code of Civil Procedure and the Arbitration Act) Act, 1965","An Act to provide for the extension of the Code of Civil Procedure, 1908, and the Arbitration Act, 1940, to the Union territory of Goa, Daman and Diu and for certain other matters.",30,1965,1965-09-25,1966-06-15,CENTRAL,Ministry of Law and Justice,Legislative Department,7,1,section
goa-daman-diu-mining-concessions-abolition-declaration-as,"The Goa, Daman and Diu Mining Concessions (Abolition and Declaration as Mining Leases) Act, 1987","An Act to provide for the abolition of the mining concessions in operation in the Union territory of Goa, Daman and Diu and specified in the First and the Second Schedules, and for the declaration of such mining concessions as mining leases under the Mines and Minerals (Regulation and Development) Act, 1957 with a view to the regulation of the mines to which such concessions relate and for the development of minerals under the control of the Union and for matters connected therewith or incidental thereto.",16,1987,1987-05-23,1987-05-23,CENTRAL,Ministry of Mines,,22,1,section
goa-daman-diu-reorganisation-act-1987,"The Goa, Daman and Diu Reorganisation Act, 1987","An Act to provide for the reorganisation of the Union territory of Goa, Daman and Diu and for matters connected therewith.",18,1987,1987-05-23,1987-05-23,CENTRAL,Ministry of Home Affairs,Department of States,72,1,section
gold-bonds-immunities-exemptions-act-1993,"The Gold Bonds (Immunities and Exemptions) Act, 1993",An Act to provide for certain immunities to the subscribers of the Gold Bonds and for certain exemptions from direct taxes in relation to such Bonds and for matters connected therewith or incidental thereto.,25,1993,1993-04-02,1993-01-31,CENTRAL,Ministry of Finance,Department of Economic Affairs,6,1,section
goods-services-tax-compensation-states-act-2017,"The Goods and Services Tax (Compensation to States) Act, 2017","An Act to provide for compensation to the States for the loss of revenue arising on account of implementation of the goods and services tax in pursuance of the provisions of the Constitution (One Hundred and First Amendment) Act, 2016.",15,2017,2017-04-12,2017-07-01,CENTRAL,Ministry of Finance,Department of Revenue,15,1,section
government-buildings-act-1899,"The Government Buildings Act, 1899","An Act to provide for the exemption from the operation of municipal building laws of certain buildings and lands which are the property, or in the occupation, of the",4,1899,1899-02-03,1899-02-03,CENTRAL,Ministry of Housing and Urban Affairs,,4,1,section
government-national-capital-territory-delhi-act-1991,"The Government of National Capital Territory of Delhi Act, 1991",An Act to supplement the provisions of the Constitution relating to the Legislative Assembly and a Council of Ministers for the National Capital Territory of Delhi and for matters connected therewith or incidental thereto.,1,1992,1992-01-02,1992-02-01,CENTRAL,Ministry of Home Affairs,Department of States,70,1,section
government-savings-promotion-act-1873,"The Government Savings Promotion Act, 1873","An Act to regulate Irrigation, Navigation and Drainage Northern India.",5,1873,1873-01-28,1873-01-28,CENTRAL,Ministry of Finance,Department of Economic Affairs,22,1,section
government-securities-act-1330-fasli,"The Government Securities Act, 1330 Fasli.",,2,1330,,,Telangana,,Finance,21,1,section
